Question,Correct Answer,Model Answer,Semantic Entropy,EigenScore,SAR Score,NumSets,Self Confidence,Verbalized Uncertainty,Voting Result,Hallucination Votes,Similarity with Correct
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Как изменится рынок гречневой крупы после аномально жаркого лета? Вариант ответа 1: Рыночная цена крупы понизится, Вариант ответа 2: Предложение крупы понизится, Вариант ответа 3: Спрос на крупу понизится, Вариант ответа 4: Количество проданной крупы повысится Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,1.1920929e-07,2.0512412261032437e-07,1.0,1,0.99,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Найдите в приведенном ниже списке функции ЦБ Вариант ответа 1: кредитование населения, Вариант ответа 2: контроль за денежным обращением, Вариант ответа 3: кредитование частных банков, Вариант ответа 4: реализация валютной политики, Вариант ответа 5: привлечение свободных денежных средств населения, Вариант ответа 6: создание платёжных средств Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",234,2346,0.45045018,0.5387903443107225,0.44714352131984414,2,0.98,1.0,HALLUCINATION,4/6,0.8654544
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Государство, политические элиты и лидеры, политические партии относятся к Вариант ответа 1: источникам власти, Вариант ответа 2: функциям власти, Вариант ответа 3: объектам власти, Вариант ответа 4: субъектам власти Выберите один вариант правильного ответа и укажите его номер в ответе.",4,4,-2.3841858e-07,9.906479089500534e-07,1.0,1,0.99,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Большинство производителей телефонов в мире останавливают свой выбор на жидкокристаллических дисплеях, произведённых одной из четырёх компаний, крупнейших в мире производителей жидкокристаллических дисплеев. Выберите из приведённого списка характеристики данного рынка Вариант ответа 1: Рынок товаров и услуг., Вариант ответа 2: Фондовый рынок., Вариант ответа 3: Олигополия., Вариант ответа 4: Монопсония., Вариант ответа 5: Рынок сырья., Вариант ответа 6: Мировой рынок. Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",136,136,0.28141814,0.4254910487471516,0.9999999999999999,2,0.98,1.0,NORMAL,2/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Найдите в приведенном ниже списке основные признаки моральных норм Вариант ответа 1: Установлены государством., Вариант ответа 2: Выражаются в общественном мнении., Вариант ответа 3: Обязательны для исполнения., Вариант ответа 4: Регулируют общественные отношения с позиций добра и зла., Вариант ответа 5: Дают большой простор для толкования., Вариант ответа 6: Поддерживаются силой государственного принуждения. Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",245,245,-2.3841858e-07,9.906479089500534e-07,1.0,1,0.98,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Понятия «унитарное государство» и «федерация» характеризуют Вариант ответа 1: политическую систему, Вариант ответа 2: форму правления, Вариант ответа 3: политический режим, Вариант ответа 4: форму государственнотерриториального устройства Выберите один вариант правильного ответа и укажите его номер в ответе.",4,4,-2.3841858e-07,9.906479089500534e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Важнейшей функцией политической власти в предвыборный период является Вариант ответа 1: разработка единой идеологии, Вариант ответа 2: формирование политической элиты, Вариант ответа 3: укрепление организации, Вариант ответа 4: увеличение собственного электората Выберите один вариант правильного ответа и укажите его номер в ответе.",4,4,-2.3841858e-07,9.906479089500534e-07,1.0,1,0.98,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведен перечень терминов. Все они, за исключением двух, относятся к понятию «правонарушение». Выберите лишние элементы. Вариант ответа 1: соблюдение закона, Вариант ответа 2: деяние, Вариант ответа 3: вина, Вариант ответа 4: неосторожность, Вариант ответа 5: умысел, Вариант ответа 6: правовой обычай Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",16,16,0.0,9.906479089500534e-07,1.0,1,0.99,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Найдите в приведенном списке конституционные обязанности гражданина РФ. Вариант ответа 1: Сохранение тайны переписки, телефонных переговоров., Вариант ответа 2: Бережное отношение к природным богатствам., Вариант ответа 3: Соблюдение Конституции., Вариант ответа 4: Пользование родным языком., Вариант ответа 5: Свободное использование своих способностей для предпринимательской деятельности. Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",23,23,-2.3841858e-07,9.906479089500534e-07,1.0,1,0.99,1.0,NORMAL,0/6,1.0
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Наука отражает мир в Вариант ответа 1: понятиях и терминах, Вариант ответа 2: художественных образах, Вариант ответа 3: символах веры, Вариант ответа 4: обыденных представлениях Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,0.0,1.7210395901646083e-06,1.0,1,0.99,1.0,NORMAL,0/6,1.0
