Question,Correct Answer,Model Answer,Semantic Entropy,EigenScore,SAR Score,NumSets,Self Confidence,Verbalized Uncertainty,Voting Result,Hallucination Votes,Similarity with Correct
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В каком году произошла битва «на Чудском озере на Узмени, у Воронья камня»? Вариант ответа 1: 1111 г., Вариант ответа 2: 1223 г., Вариант ответа 3: 1242 г., Вариант ответа 4: 1378 г. Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-3.5762787e-07,2.1949808697579095e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Сражение под Малоярославцем, Вариант ответа 2: Приход к власти Людовика XV, Вариант ответа 3: Введение урочных лет Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0.4951005,0.5509366190279082,0.21911820021414363,2,0.99,1.0,HALLUCINATION,4/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведён список терминов. Все они, за исключением двух, относятся к периоду IX-XI вв. Выберите лишние элементы. Вариант ответа 1: смерд, Вариант ответа 2: пожилое, Вариант ответа 3: погост, Вариант ответа 4: холоп, Вариант ответа 5: вервь, Вариант ответа 6: баскак Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",26,26,0.0,1.7210395901646083e-06,0.9999999999999999,1,0.98,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведён перечень терминов. Все они, за исключением двух, относятся к событиям, явлениям XIX в. Выберите лишние элементы. Вариант ответа 1: Декабристы, Вариант ответа 2: Промышленный переворот, Вариант ответа 3: Октябристы, Вариант ответа 4: Кадеты, Вариант ответа 5: Отрезки, Вариант ответа 6: Аракчеевщина Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",34,34,0.47517425,0.4871559072377498,0.28105498576854815,2,0.99,1.0,HALLUCINATION,4/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Ледовое побоище;, Вариант ответа 2: Крещение Руси;, Вариант ответа 3: Грюнвальдская битва. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",213,213,1.1920929e-07,2.754924651196835e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности исторические события. Запишите цифры, которыми обозначены исторические события, в правильной последовательности. Вариант ответа 1: введение всесословной воинской повинности в России, Вариант ответа 2: вступление СССР в Лигу Наций, Вариант ответа 3: Варфоломеевская ночь во Франции Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",312,"Хронологическая последовательность:

3) Варфоломеевская ночь во Франции — 1572  
1) введение всесословной воинской повинности в России — 1874  
2) вступление СССР в Лигу Наций — 1934  

Ответ: **312**",0.5253727,0.6511731384432909,0.2361353307957046,2,0.99,1.0,HALLUCINATION,4/6,0.23613527
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Введение рекрутских наборов;, Вариант ответа 2: Принятие Новоторгового устава;, Вариант ответа 3: Реформация в Англии. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,"Сопоставим даты:

1. **Введение рекрутских наборов** — 1705 год  
2. **Принятие Новоторгового устава** — 1667 год  
3. **Реформация в Англии** — XVI век, при Генрихе VIII, 1530-е годы

Хронологическая последовательность: **3 2 1**

**Ответ: 321**",0.12875807,0.30240906930414274,0.8667712696049673,1,0.99,1.0,NORMAL,1/6,0.25947136
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: От имени советского командования безоговорочную капитуляцию фашистской Германии в ночь на 9 мая 1945 г. подписал Вариант ответа 1: К. Е. Ворошилов, Вариант ответа 2: Г. К. Жуков, Вариант ответа 3: А. М. Василевский, Вариант ответа 4: И. С. Конев Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,1.1920929e-07,2.0512412261032437e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Против кого сражалась русская рать в Невской битве в 1240 г.? Вариант ответа 1: Половцев, Вариант ответа 2: Хазар, Вариант ответа 3: Монголов, Вариант ответа 4: Шведов Выберите один вариант правильного ответа и укажите его номер в ответе.",4,4,-2.3841858e-07,9.906479089500534e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Походы Святослава Игоревича., Вариант ответа 2: Включение Новгорода в состав Московского княжества., Вариант ответа 3: Гибель «Непобедимой армады». Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",123,123,0.43602526,0.5354707148680539,0.45004581975768276,2,1.0,1.0,HALLUCINATION,4/6,1.0000002
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Прочитайте отрывок из Указа Президента и напишите его фамилию. Текст: «Осуществить… переход в основном на применение свободных (рыночных) цен и тарифов, складывающихся под влиянием спросаи предложения, на продукцию производственно-технического назначения, товары народного потребления, работы и услуги.Государственные закупки сельскохозяйственной продукции также производить по свободным (рыночным) ценам. …Установить… применение государственных регулируемых цен (тарифов) предприятиям и организациям независимо от форм собственности только на ограниченный круг продукции производственно-технического назначения, основных потребительских товаров и услуг по перечням». Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).",ельцин,Ельцин,0.007920265,0.02760639176806391,1.0,1,0.99,1.0,NORMAL,0/6,1.0
