Question,Correct Answer,Model Answer,Semantic Entropy,EigenScore,SAR Score,NumSets,Self Confidence,Verbalized Uncertainty,Voting Result,Hallucination Votes,Similarity with Correct
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: С какой из перечисленных стран Россия имеет сухопутную границу? Вариант ответа 1: Норвегия, Вариант ответа 2: Таджикистан, Вариант ответа 3: Узбекистан, Вариант ответа 4: Швеция Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,-2.3841858e-07,1.2530293531721889e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В какой из перечисленных стран доля горожан в общей численности населения наибольшая? Вариант ответа 1: Индия, Вариант ответа 2: Египет, Вариант ответа 3: Италия, Вариант ответа 4: Эфиопия Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-2.3841858e-07,9.906479089500534e-07,1.0,1,0.8,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите перечисленные периоды геологической истории Земли в хронологическом порядке, начиная с самого раннего. Вариант ответа 1: Триасовый, Вариант ответа 2: Неогеновый, Вариант ответа 3: Кембрийский Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",312,312,0.0,1.9472176757848654e-06,1.0,1,1.0,1.0,NORMAL,0/6,0.9999999
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Установите соответствие между субъектом РФ и его административным центром. В ответе запишите номера правильных ответов в порядке, соответствующем буквам А, Б, В Текст: А) Амурская область Б) Забайкальский край В) Республика Коми Вариант ответа 1: Улан-Удэ, Вариант ответа 2: Чита, Вариант ответа 3: Благовещенск, Вариант ответа 4: Сыктывкар Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",324,324,0.0,1.7210395901646083e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: 22 июня световой день короче ночи на Вариант ответа 1: Северном тропике, Вариант ответа 2: Северном полярном круге, Вариант ответа 3: экваторе, Вариант ответа 4: Южном тропике Выберите один вариант правильного ответа и укажите его номер в ответе.",4,4,0.0,1.4043306784252435e-06,1.0,1,0.75,0.3,NORMAL,1/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В каком климатическом поясе находится большая часть территории Индии? Вариант ответа 1: Тропическом, Вариант ответа 2: Субтропическом, Вариант ответа 3: Экваториальном, Вариант ответа 4: Субэкваториальном Выберите один вариант правильного ответа и укажите его номер в ответе.",4,4,0.0,1.4043306784252435e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В каком из перечисленных регионов России средняя плотность населения наименьшая? Вариант ответа 1: Архангельская область, Вариант ответа 2: Воронежская область, Вариант ответа 3: Краснодарский край, Вариант ответа 4: Ставропольский край Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,-2.3841858e-07,1.2530293531721889e-06,1.0,1,0.9,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В какой из перечисленных стран большинство верующих исповедуют христианство? Вариант ответа 1: Вьетнам, Вариант ответа 2: Бразилия, Вариант ответа 3: Индонезия, Вариант ответа 4: Египет Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,-2.3841858e-07,9.481392766806649e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: На территории какого из перечисленных регионов России наиболее велика вероятность сильных землетрясений? Вариант ответа 1: Республика Бурятия, Вариант ответа 2: Удмуртская республика, Вариант ответа 3: Новосибирская область, Вариант ответа 4: Ростовская область Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,-2.3841858e-07,1.2530293531721889e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Абель Тасман – известный голландский мореплаватель. Благодаря исследованиям А. Тасмана в XVII столетии на карте мира стало заметно меньше белых пятен. Имя этого выдающегося мореплавателя осталось на географической карте. Какой из перечисленных гидрографических объектов носит имя этого исследователя? Вариант ответа 1: Море, Вариант ответа 2: Река, Вариант ответа 3: Равнина, Вариант ответа 4: Пролив Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,-2.3841858e-07,1.2530293531721889e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
